Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-08-19 17:32:58.884 -0400,"Success",0:00:00,0,0,0,"20240819_173258.884/LogFile.txt","","",1
2024-08-19 17:33:24.030 -0400,"Aborted",0:00:12,1,0,0,"20240819_173324.030/LogFile.txt","","",0
2024-08-19 17:35:21.134 -0400,"Aborted",0:02:10,1,0,0,"20240819_173521.134/LogFile.txt","","",0
2024-08-19 17:38:09.222 -0400,"Success",0:00:57,0,0,0,"20240819_173809.222/LogFile.txt","","",1
2024-08-19 17:39:25.835 -0400,"Success",0:00:25,0,0,0,"20240819_173925.835/LogFile.txt","","",1
2024-08-19 17:49:26.236 -0400,"Failure",0:00:00,1,0,0,"20240819_174926.236/LogFile.txt","","STFileException -- Failed to read file /Users/charturn/Documents/Personal/JosiahBC.pdf",0
